app,iter,performance,gpupower(W),power-efficiency,exetime(s),gpuUtil,gmemUtil,frequency,exetime_std,gpupower_std
BlackScholes,0.5,22.201,75.7,0.293,369.5,99.72,99.695,2471.0,0.7071067811865476,0.0
bandwidthTest,0.5,217.9,61.35,3.5535,371.5,99.785,99.79499999999999,2466.0,0.7071067811865476,0.21213203435596223
convolutionFFT2D,0.5,13555.5455,88.9,152.477,118.5,97.905,98.745,2456.5,2.1213203435596424,0.7071067811865476
cudaTensorCoreGemm,0.5,28.265,87.55,0.3225,243.0,99.825,99.76,2467.0,0.0,0.7778174593051983
fastWalshTransform,0.5,46.1525,66.55,0.6935,188.0,99.535,99.49,2466.0,0.0,0.07071067811865074
reductionMultiBlockCG,0.5,1775.281,67.95,26.123,267.0,99.21000000000001,99.735,2474.0,0.0,0.07071067811865074
sortingNetworks,0.5,925.5455,76.19999999999999,12.143,85.0,97.0,1.365,2458.5,0.0,0.14142135623730648
transpose,0.5,126307.692,92.65,1363.435,65.0,99.005,1.18,2460.0,0.0,0.3535533905932738
