app,iter,performance,gpupower(W),power-efficiency,exetime(s),gpuUtil,gmemUtil,frequency,exetime_std,gpupower_std
BlackScholes,0.5,22.2275,76.35,0.291,368.5,99.73,99.78,2471.5,0.7071067811865476,1.0606601717798212
bandwidthTest,0.5,218.95,61.3,3.572,370.0,99.65,99.74000000000001,2470.0,0.0,0.14142135623730398
convolutionFFT2D,0.5,13744.5475,89.6,153.4145,116.5,98.16499999999999,99.36,2462.5,0.7071067811865476,0.565685424949231
cudaTensorCoreGemm,0.5,28.245,87.3,0.3235,243.5,99.625,99.605,2473.5,0.7071067811865476,0.42426406871192446
fastWalshTransform,0.5,46.258,67.05,0.69,187.5,99.255,99.32,2469.5,0.7071067811865476,0.7778174593051983
reductionMultiBlockCG,0.5,1768.657,68.69999999999999,25.75,268.0,98.97,99.475,2472.5,0.0,1.2727922061357786
sortingNetworks,0.5,932.298,76.7,12.153500000000001,84.0,96.71000000000001,1.27,2466.5,0.0,0.28284271247462306
transpose,0.5,124393.939,92.75,1341.659,66.0,98.185,1.51,2440.0,0.0,1.7677669529663689
