app,iter,performance,gpupower(W),power-efficiency,exetime(s),gpuUtil,gmemUtil,frequency,exetime_std,gpupower_std
BlackScholes,0.5,21.032,70.55000000000001,0.298,389.5,99.745,99.68,2331.0,10.606601717798213,0.21213203435596728
bandwidthTest,0.5,207.3,57.8,3.5875,391.0,99.81,99.695,2323.0,9.899494936611665,0.42426406871193206
convolutionFFT2D,1.0,11694.934,77.7,150.518,137.0,98.19,98.03,2319.0,,
cudaTensorCoreGemm,0.5,26.05,79.25,0.3285,264.0,99.46000000000001,97.07499999999999,2304.5,7.0710678118654755,2.7577164466275392
fastWalshTransform,0.5,43.7855,61.85,0.708,198.5,99.44,99.155,2333.5,0.7071067811865476,0.3535533905932738
reductionMultiBlockCG,0.5,1658.9855,63.449999999999996,26.146,286.0,99.065,97.84,2337.5,12.727922061357855,0.9192388155425097
sortingNetworks,0.5,872.5174999999999,68.45,12.7475,93.0,96.965,3.7750000000000004,2330.0,1.4142135623730951,0.3535533905932738
transpose,0.5,116600.5235,84.45,1380.507,70.5,98.285,2.95,2367.0,3.5355339059327378,4.171930009000635
